DATA;SEDE;TIPO PS;NUMERO ACCESSI
01/01/2021;Cantù;PS Generale;40
01/01/2021;Menaggio;PS Generale;11
01/01/2021;S. Fermo;PS Generale;70
01/01/2021;S. Fermo;PS Ostetrico-Ginecologico;19
01/01/2021;S. Fermo;PS Pediatrico;18
02/01/2021;Cantù;PS Generale;53
02/01/2021;Menaggio;PS Generale;11
02/01/2021;S. Fermo;PS Generale;78
02/01/2021;S. Fermo;PS Ostetrico-Ginecologico;18
02/01/2021;S. Fermo;PS Pediatrico;20
03/01/2021;Cantù;PS Generale;25
03/01/2021;Menaggio;PS Generale;14
03/01/2021;S. Fermo;PS Generale;62
03/01/2021;S. Fermo;PS Ostetrico-Ginecologico;14
03/01/2021;S. Fermo;PS Pediatrico;14
04/01/2021;Cantù;PS Generale;57
04/01/2021;Menaggio;PS Generale;16
04/01/2021;S. Fermo;PS Generale;80
04/01/2021;S. Fermo;PS Ostetrico-Ginecologico;20
04/01/2021;S. Fermo;PS Pediatrico;18
05/01/2021;Cantù;PS Generale;41
05/01/2021;Menaggio;PS Generale;11
05/01/2021;S. Fermo;PS Generale;68
05/01/2021;S. Fermo;PS Ostetrico-Ginecologico;23
05/01/2021;S. Fermo;PS Pediatrico;12
06/01/2021;Cantù;PS Generale;40
06/01/2021;Menaggio;PS Generale;10
06/01/2021;S. Fermo;PS Generale;67
06/01/2021;S. Fermo;PS Ostetrico-Ginecologico;16
06/01/2021;S. Fermo;PS Pediatrico;18
07/01/2021;Cantù;PS Generale;51
07/01/2021;Menaggio;PS Generale;15
07/01/2021;S. Fermo;PS Generale;73
07/01/2021;S. Fermo;PS Ostetrico-Ginecologico;21
07/01/2021;S. Fermo;PS Pediatrico;22
08/01/2021;Cantù;PS Generale;36
08/01/2021;Cantù;PS Pediatrico;1
08/01/2021;Menaggio;PS Generale;11
08/01/2021;S. Fermo;PS Generale;80
08/01/2021;S. Fermo;PS Ostetrico-Ginecologico;18
08/01/2021;S. Fermo;PS Pediatrico;18
09/01/2021;Cantù;PS Generale;44
09/01/2021;Menaggio;PS Generale;11
09/01/2021;S. Fermo;PS Generale;82
09/01/2021;S. Fermo;PS Ostetrico-Ginecologico;9
09/01/2021;S. Fermo;PS Pediatrico;18
10/01/2021;Cantù;PS Generale;33
10/01/2021;Menaggio;PS Generale;9
10/01/2021;S. Fermo;PS Generale;62
10/01/2021;S. Fermo;PS Ostetrico-Ginecologico;18
10/01/2021;S. Fermo;PS Pediatrico;16
11/01/2021;Cantù;PS Generale;48
11/01/2021;Menaggio;PS Generale;15
11/01/2021;S. Fermo;PS Generale;71
11/01/2021;S. Fermo;PS Ostetrico-Ginecologico;16
11/01/2021;S. Fermo;PS Pediatrico;11
12/01/2021;Cantù;PS Generale;40
12/01/2021;Cantù;PS Pediatrico;1
12/01/2021;Menaggio;PS Generale;21
12/01/2021;S. Fermo;PS Generale;68
12/01/2021;S. Fermo;PS Ostetrico-Ginecologico;16
12/01/2021;S. Fermo;PS Pediatrico;20
13/01/2021;Cantù;PS Generale;50
13/01/2021;Menaggio;PS Generale;15
13/01/2021;S. Fermo;PS Generale;77
13/01/2021;S. Fermo;PS Ostetrico-Ginecologico;10
13/01/2021;S. Fermo;PS Pediatrico;24
14/01/2021;Cantù;PS Generale;39
14/01/2021;Menaggio;PS Generale;11
14/01/2021;S. Fermo;PS Generale;80
14/01/2021;S. Fermo;PS Ostetrico-Ginecologico;21
14/01/2021;S. Fermo;PS Pediatrico;17
15/01/2021;Cantù;PS Generale;50
15/01/2021;Menaggio;PS Generale;14
15/01/2021;Menaggio;PS Pediatrico;1
15/01/2021;S. Fermo;PS Generale;67
15/01/2021;S. Fermo;PS Ostetrico-Ginecologico;14
15/01/2021;S. Fermo;PS Pediatrico;24
16/01/2021;Cantù;PS Generale;48
16/01/2021;Menaggio;PS Generale;11
16/01/2021;S. Fermo;PS Generale;82
16/01/2021;S. Fermo;PS Ostetrico-Ginecologico;17
16/01/2021;S. Fermo;PS Pediatrico;19
17/01/2021;Cantù;PS Generale;41
17/01/2021;Menaggio;PS Generale;11
17/01/2021;S. Fermo;PS Generale;65
17/01/2021;S. Fermo;PS Ostetrico-Ginecologico;19
17/01/2021;S. Fermo;PS Pediatrico;14
18/01/2021;Cantù;PS Generale;38
18/01/2021;Menaggio;PS Generale;24
18/01/2021;S. Fermo;PS Generale;78
18/01/2021;S. Fermo;PS Ostetrico-Ginecologico;18
18/01/2021;S. Fermo;PS Pediatrico;21
19/01/2021;Cantù;PS Generale;44
19/01/2021;Menaggio;PS Generale;15
19/01/2021;S. Fermo;PS Generale;84
19/01/2021;S. Fermo;PS Ostetrico-Ginecologico;20
19/01/2021;S. Fermo;PS Pediatrico;15
20/01/2021;Cantù;PS Generale;33
20/01/2021;Menaggio;PS Generale;8
20/01/2021;S. Fermo;PS Generale;82
20/01/2021;S. Fermo;PS Ostetrico-Ginecologico;20
20/01/2021;S. Fermo;PS Pediatrico;20
21/01/2021;Cantù;PS Generale;40
21/01/2021;Menaggio;PS Generale;17
21/01/2021;S. Fermo;PS Generale;73
21/01/2021;S. Fermo;PS Ostetrico-Ginecologico;26
21/01/2021;S. Fermo;PS Pediatrico;17
22/01/2021;Cantù;PS Generale;36
22/01/2021;Menaggio;PS Generale;15
22/01/2021;S. Fermo;PS Generale;72
22/01/2021;S. Fermo;PS Ostetrico-Ginecologico;11
22/01/2021;S. Fermo;PS Pediatrico;17
23/01/2021;Cantù;PS Generale;40
23/01/2021;Menaggio;PS Generale;8
23/01/2021;S. Fermo;PS Generale;69
23/01/2021;S. Fermo;PS Ostetrico-Ginecologico;10
23/01/2021;S. Fermo;PS Pediatrico;19
24/01/2021;Cantù;PS Generale;41
24/01/2021;Menaggio;PS Generale;10
24/01/2021;S. Fermo;PS Generale;77
24/01/2021;S. Fermo;PS Ostetrico-Ginecologico;17
24/01/2021;S. Fermo;PS Pediatrico;30
25/01/2021;Cantù;PS Generale;60
