DATA;SEDE;TIPO PS;NUMERO ACCESSI
01/01/2024;Cantù;PS Generale;53
01/01/2024;Cantù;PS Pediatrico;20
01/01/2024;Menaggio;PS Generale;16
01/01/2024;Como;PS Generale;95
01/01/2024;Como;PS Pediatrico;58
01/01/2024;Como;PS Ostetrico-Ginecologico;13
02/01/2024;Cantù;PS Generale;62
02/01/2024;Cantù;PS Pediatrico;16
02/01/2024;Menaggio;PS Generale;21
02/01/2024;Como;PS Generale;126
02/01/2024;Como;PS Pediatrico;34
02/01/2024;Como;PS Ostetrico-Ginecologico;18
03/01/2024;Cantù;PS Generale;55
03/01/2024;Cantù;PS Pediatrico;11
03/01/2024;Menaggio;PS Generale;25
03/01/2024;Como;PS Generale;112
03/01/2024;Como;PS Pediatrico;28
03/01/2024;Como;PS Ostetrico-Ginecologico;19
04/01/2024;Cantù;PS Generale;50
04/01/2024;Cantù;PS Pediatrico;7
04/01/2024;Menaggio;PS Generale;21
04/01/2024;Como;PS Generale;105
04/01/2024;Como;PS Pediatrico;31
04/01/2024;Como;PS Ostetrico-Ginecologico;26
05/01/2024;Cantù;PS Generale;54
05/01/2024;Cantù;PS Pediatrico;10
05/01/2024;Menaggio;PS Generale;24
05/01/2024;Como;PS Generale;87
05/01/2024;Como;PS Pediatrico;38
05/01/2024;Como;PS Ostetrico-Ginecologico;19
06/01/2024;Cantù;PS Generale;46
06/01/2024;Cantù;PS Pediatrico;11
06/01/2024;Menaggio;PS Generale;16
06/01/2024;Como;PS Generale;81
06/01/2024;Como;PS Pediatrico;26
06/01/2024;Como;PS Ostetrico-Ginecologico;22
07/01/2024;Cantù;PS Generale;54
07/01/2024;Cantù;PS Pediatrico;20
07/01/2024;Menaggio;PS Generale;12
07/01/2024;Como;PS Generale;100
07/01/2024;Como;PS Pediatrico;36
07/01/2024;Como;PS Ostetrico-Ginecologico;16
08/01/2024;Cantù;PS Generale;66
08/01/2024;Cantù;PS Pediatrico;17
08/01/2024;Menaggio;PS Generale;18
