CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
9613;0;Viale Vasco De Gama, 38;ADILARDI PAOLA;8981600581;121;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/01/2005;28/02/2013;Ordinaria;1;41.73427;12.27579;1
9614;0;Via S. Gherardi, 106;MODICA ORSOLA;9079210580;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9615;0;Via Portuense, 1440/A;FOCOLARI LEONE;8562470586;50;58091;ROMA;PONTE GALERIA;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.85807;12.44769;1
9616;0;Via Edoardo Jenner, 109;ROSSI GIAMPIERO;9151300580;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.87245;12.44523;1
9617;0;Via Ferdinando Acton, 23;ANGELINI LAURA;-;122;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2010;Ordinaria;1;41.73058;12.29217;1
9618;0;Via dei Colli Portuensi, 310/A;VILLARI ALESSANDRA;6466610729;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/11/2011;-;Ordinaria;1;41.86532;12.4436;1
9619;0;Via Pescaglia, 29;DE BERARDINIS MARIO;9079210580;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.84846;12.46531;1
9620;0;Via Casetta Mattei, 202;LU.FER.FARMA-G. LUCIANI & C. SNC;4365751009;148;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.85825;12.41946;1
9621;0;Via Bravetta, 82/84;SALVATORE DELLA DR.SSA CUOZZO CARMELITA;9831290581;164;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9622;0;Piazza di Spagna , 30;TRINITA' DEI MONTI SAS;10038611009;149;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/09/2008;30/09/2010;Ordinaria;1;41.90661;12.4816;1
9623;0;Via G. De Calvi, 12;FOCACCIA SILVANO & C. SNC;4365431008;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/09/2010;-;Ordinaria;1;41.92368;12.57115;1
9624;0;Via E. Rolli, 19;FACCIOLA' FABIO;9615190585;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;28/02/2013;Ordinaria;1;41.92368;12.57115;1
9625;0;Circ.ne Gianicolense, 186/a;DELOGU FRANCESCA;9509210580;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.92368;12.57115;1
9626;0;Via Federico Torre, 27/31;POLVERINI GIULIANA & A.PAOLA SNC;4571751009;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.88102;12.46201;1
9627;0;Via Donna Olimpia, 23;LORPHARMA SAS DI SAVERIO MOZZETTI & C.;4571831009;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2015;-;Ordinaria;1;41.87782;12.45282;1
9628;0;Piazzale Filippo il Macedone, 23/24;D'ALBERTI ANGELO SNC;8549620584;124;58091;ROMA;CASAL PALOCCO;58;RM;ROMA;120;LAZIO;01/01/2005;30/04/2011;Ordinaria;1;41.92368;12.57115;1
9629;0;Viale Vasco De Gama, 137;ZINCONE DI M. ANTONIA ZINCONE E VITTORIA BENNI SNC;-;121;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.73427;12.27579;1
9630;0;Via Aristide Carabelli, 52-54-56;MATTEAZZI GIANCARLO;9765040580;121;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/01/2005;30/06/2007;Ordinaria;1;41.74024;12.26796;1
9631;0;Via Mare Glaciale Artico, 4;MAR ROSSO DI SANSONI CARMELO SAS;9718050587;122;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.73309;12.30195;1
9632;0;Via F. Bolognesi, 27;DI FLUMERI MARIA ROSARIA;9539800582;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.92368;12.57115;1
9633;0;Via dell'Imbrecciato, 124;GUARINO F. & C. SNC;4817521000;149;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.92368;12.57115;1
9634;0;Viale Trastevere, 303/307;RIZZO MARULLO SAS;10541181003;153;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/11/2011;-;Ordinaria;1;41.92368;12.57115;1
9635;0;Piazza Pietro Merolli, 18;D'AMICO MARIA GIULIA;8681830587;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/12/2007;Ordinaria;1;41.86187;12.44253;1
9636;0;Via Fonteiana, 79/79a;MURINO DI MURINO RAFFAELE & C. SNC;10007340580;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/08/2010;Ordinaria;1;41.88351;12.45583;1
9637;0;Largo Gaetano La Loggia, 35;SAMPERI LAURA;10118730588;149;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.85577;12.44616;1
9638;0;Via Stella Polare, 59/61/63;STELLA POLARE DEL DR. RUELLO MATTEO;5106461006;122;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.9767;12.61621;1
9639;0;Via G. Ghislieri, 21/23;CORDESCHI DEI DOTT.RI FERNANDO E PAOLA SNC;10196981004;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/05/2009;-;Ordinaria;1;41.92368;12.57115;1
9640;0;Via Oderisi da Gubbio, 241;MAGLIANA ANTICA;10195370589;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.86643;12.46576;1
9641;0;Viale Guglielmo Marconi, 312-314;COTTI LAURA;10182690585;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/04/2007;-;Ordinaria;1;41.86932;12.46774;1
9642;0;Via G. Marconi, 174 - 174/A;MARCHESE MARIO GIUSTINO;8767930582;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.92368;12.57115;1
9643;0;Viale Isacco Newton, 92/B;CARDILLO ADELAIDE;5407441004;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2008;-;Ordinaria;1;41.85461;12.44037;1
9644;0;Via Aurelia Km. 1297/1299;BUCCELLA DR. FILIPPO & C. SAS;5102341004;166;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/10/2010;-;Ordinaria;1;41.92368;12.57115;1
9645;0;Via dei Malatesta, 5 a/b;D'ALESSANDRO SILVIA;8595080584;164;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/09/2010;Ordinaria;1;41.88131;12.425;1
9646;0;Via dei Romagnoli, 753;BENNI BERTRANDO E LUIGI SNC;5380541002;119;58091;ROMA;OSTIA ANTICA;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.7521;12.29534;1
9647;0;Viale Marconi, 107;EREDI INGLESE ROSA;10234680584;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/03/2007;Ordinaria;1;42.63472;11.67024;1
9648;0;Viale Trieste, 18;EREDI RICCARDI DR. ZINO;5584771009;19;58104;TIVOLI;-;58;RM;ROMA;120;LAZIO;01/01/2005;30/06/2008;Ordinaria;1;41.95975;12.80025;1
9649;0;Via della Magliana, 134/b;ARRIGHI ERMIDA;8698751008;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/06/2006;-;Ordinaria;1;41.83312;12.44594;1
9650;0;Via Federico Ozanam, 57/a;LICARI FRANCESCA;1057861005;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;31/08/2010;Ordinaria;1;41.87757;12.45245;1
9651;0;Piazza della Rovere, 2/C;EREDI DI VINCENTI MARCELLO TOMMASO;7289721008;122;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.89947;12.46255;1
9652;0;Largo S.Vincenzo de Paoli, 5;PADRE PIO SAS DELLA DR.SSA MARIA LUISA GRANA & C.;5888241006;152;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/03/2013;-;Ordinaria;1;41.87113;12.457;1
9653;0;Viale dei Colli Portuensi, 475;BATTISTINI;6116831006;151;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.86532;12.4436;1
9654;0;Via G. Cardano, 58;ABBATE SNC;5999741001;146;58091;ROMA;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.86333;12.46769;1
9655;0;Via Aurelia km. 24.300;COMUNALE N.1 ARANOVA - FIUMICINO;6041561009;54;58120;FIUMICINO;-;58;RM;ROMA;120;LAZIO;01/01/2005;-;Ordinaria;1;41.88756;12.22867;1
9656;0;Via Pietro Rosa, 42;CAVALIERI SNC;-;122;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/09/2007;28/02/2013;Ordinaria;1;41.7297;12.28461;1
9657;0;Viale delle Meduse, 77;FARMACRIMI FIUMICINO DEL DR. VINCENZO CRIMI & C. SAS;8324291007;54;58120;FIUMICINO;-;58;RM;ROMA;120;LAZIO;01/08/2007;-;Ordinaria;1;41.76426;12.2248;1
9658;0;Via delle Baleniere, 139;GRAZIOSI ALESSANDRA;6427251001;121;58091;ROMA;OSTIA LIDO;58;RM;ROMA;120;LAZIO;01/01/2005;28/02/2013;Ordinaria;1;41.74203;12.28169;1
