DATA;SEDE;TIPO PS;NUMERO ACCESSI
01/01/2025;Cantù;PS Pediatrico;24
01/01/2025;Cantù;PS Generale;50
01/01/2025;Menaggio;PS Generale;17
01/01/2025;Como;PS Ostetrico-Ginecologico;12
01/01/2025;Como;PS Pediatrico;45
01/01/2025;Como;PS Generale;99
02/01/2025;Cantù;PS Generale;64
02/01/2025;Cantù;PS Pediatrico;11
02/01/2025;Menaggio;PS Generale;27
02/01/2025;Como;PS Generale;126
02/01/2025;Como;PS Pediatrico;32
02/01/2025;Como;PS Ostetrico-Ginecologico;20
03/01/2025;Cantù;PS Pediatrico;17
03/01/2025;Cantù;PS Generale;56
03/01/2025;Menaggio;PS Generale;21
03/01/2025;Como;PS Ostetrico-Ginecologico;22
03/01/2025;Como;PS Generale;129
03/01/2025;Como;PS Pediatrico;22
04/01/2025;Cantù;PS Pediatrico;18
04/01/2025;Cantù;PS Generale;49
04/01/2025;Menaggio;PS Generale;21
04/01/2025;Como;PS Pediatrico;37
04/01/2025;Como;PS Ostetrico-Ginecologico;19
04/01/2025;Como;PS Generale;105
05/01/2025;Cantù;PS Pediatrico;15
05/01/2025;Cantù;PS Generale;51
05/01/2025;Menaggio;PS Generale;20
05/01/2025;Como;PS Pediatrico;47
05/01/2025;Como;PS Generale;120
05/01/2025;Como;PS Ostetrico-Ginecologico;20
06/01/2025;Cantù;PS Generale;51
06/01/2025;Cantù;PS Pediatrico;11
06/01/2025;Menaggio;PS Generale;11
06/01/2025;Como;PS Generale;109
06/01/2025;Como;PS Ostetrico-Ginecologico;31
06/01/2025;Como;PS Pediatrico;49
07/01/2025;Cantù;PS Generale;52
07/01/2025;Cantù;PS Pediatrico;15
07/01/2025;Menaggio;PS Generale;28
07/01/2025;Como;PS Generale;121
07/01/2025;Como;PS Ostetrico-Ginecologico;17
07/01/2025;Como;PS Pediatrico;40
08/01/2025;Cantù;PS Pediatrico;8
08/01/2025;Cantù;PS Generale;67
08/01/2025;Menaggio;PS Generale;8
08/01/2025;Como;PS Generale;121
08/01/2025;Como;PS Ostetrico-Ginecologico;29
08/01/2025;Como;PS Pediatrico;31
09/01/2025;Cantù;PS Generale;75
09/01/2025;Cantù;PS Pediatrico;15
09/01/2025;Menaggio;PS Generale;21
09/01/2025;Como;PS Ostetrico-Ginecologico;19
09/01/2025;Como;PS Pediatrico;23
09/01/2025;Como;PS Generale;112
10/01/2025;Cantù;PS Generale;49
10/01/2025;Cantù;PS Pediatrico;15
10/01/2025;Menaggio;PS Generale;14
10/01/2025;Como;PS Pediatrico;39
10/01/2025;Como;PS Ostetrico-Ginecologico;20
10/01/2025;Como;PS Generale;106
11/01/2025;Cantù;PS Pediatrico;26
11/01/2025;Cantù;PS Generale;47
11/01/2025;Menaggio;PS Generale;11
11/01/2025;Como;PS Ostetrico-Ginecologico;15
11/01/2025;Como;PS Pediatrico;43
11/01/2025;Como;PS Generale;97
12/01/2025;Cantù;PS Pediatrico;17
12/01/2025;Cantù;PS Generale;44
12/01/2025;Menaggio;PS Generale;16
12/01/2025;Como;PS Generale;96
12/01/2025;Como;PS Pediatrico;42
