DATA;SEDE;TIPO PS;NUMERO ACCESSI
01/01/2023;Cantù;PS Generale;53
01/01/2023;Cantù;PS Pediatrico;15
01/01/2023;Menaggio;PS Generale;22
01/01/2023;S. Fermo;PS Generale;126
01/01/2023;S. Fermo;PS Ostetrico-Ginecologico;9
01/01/2023;S. Fermo;PS Pediatrico;42
02/01/2023;Cantù;PS Generale;63
02/01/2023;Cantù;PS Pediatrico;10
02/01/2023;Menaggio;PS Generale;23
02/01/2023;S. Fermo;PS Generale;118
02/01/2023;S. Fermo;PS Ostetrico-Ginecologico;22
02/01/2023;S. Fermo;PS Pediatrico;42
03/01/2023;Cantù;PS Generale;58
03/01/2023;Cantù;PS Pediatrico;9
03/01/2023;Menaggio;PS Generale;18
03/01/2023;S. Fermo;PS Generale;122
03/01/2023;S. Fermo;PS Ostetrico-Ginecologico;14
03/01/2023;S. Fermo;PS Pediatrico;38
04/01/2023;Cantù;PS Generale;44
04/01/2023;Cantù;PS Pediatrico;5
04/01/2023;Menaggio;PS Generale;19
04/01/2023;S. Fermo;PS Generale;99
04/01/2023;S. Fermo;PS Ostetrico-Ginecologico;13
04/01/2023;S. Fermo;PS Pediatrico;33
05/01/2023;Cantù;PS Generale;55
05/01/2023;Cantù;PS Pediatrico;7
05/01/2023;Menaggio;PS Generale;22
05/01/2023;S. Fermo;PS Generale;111
05/01/2023;S. Fermo;PS Ostetrico-Ginecologico;16
05/01/2023;S. Fermo;PS Pediatrico;39
06/01/2023;Cantù;PS Generale;54
06/01/2023;Cantù;PS Pediatrico;9
06/01/2023;Menaggio;PS Generale;13
06/01/2023;S. Fermo;PS Generale;88
06/01/2023;S. Fermo;PS Ostetrico-Ginecologico;21
06/01/2023;S. Fermo;PS Pediatrico;33
07/01/2023;Cantù;PS Generale;56
07/01/2023;Cantù;PS Pediatrico;15
07/01/2023;Menaggio;PS Generale;31
07/01/2023;S. Fermo;PS Generale;98
07/01/2023;S. Fermo;PS Ostetrico-Ginecologico;14
07/01/2023;S. Fermo;PS Pediatrico;27
08/01/2023;Cantù;PS Generale;47
08/01/2023;Cantù;PS Pediatrico;8
08/01/2023;Menaggio;PS Generale;13
08/01/2023;S. Fermo;PS Generale;105
08/01/2023;S. Fermo;PS Ostetrico-Ginecologico;17
08/01/2023;S. Fermo;PS Pediatrico;41
09/01/2023;Cantù;PS Generale;58
09/01/2023;Cantù;PS Pediatrico;9
09/01/2023;Menaggio;PS Generale;22
09/01/2023;S. Fermo;PS Generale;114
09/01/2023;S. Fermo;PS Ostetrico-Ginecologico;12
09/01/2023;S. Fermo;PS Pediatrico;33
10/01/2023;Cantù;PS Generale;57
10/01/2023;Cantù;PS Pediatrico;8
10/01/2023;Menaggio;PS Generale;17
10/01/2023;S. Fermo;PS Generale;95
10/01/2023;S. Fermo;PS Ostetrico-Ginecologico;23
10/01/2023;S. Fermo;PS Pediatrico;48
11/01/2023;Cantù;PS Generale;45
11/01/2023;Cantù;PS Pediatrico;10
11/01/2023;Menaggio;PS Generale;16
11/01/2023;S. Fermo;PS Generale;100
11/01/2023;S. Fermo;PS Ostetrico-Ginecologico;10
11/01/2023;S. Fermo;PS Pediatrico;28
12/01/2023;Cantù;PS Generale;47
12/01/2023;Cantù;PS Pediatrico;12
12/01/2023;Menaggio;PS Generale;22
12/01/2023;S. Fermo;PS Generale;110
12/01/2023;S. Fermo;PS Ostetrico-Ginecologico;18
12/01/2023;S. Fermo;PS Pediatrico;33
13/01/2023;Cantù;PS Generale;52
13/01/2023;Cantù;PS Pediatrico;10
13/01/2023;Menaggio;PS Generale;8
13/01/2023;S. Fermo;PS Generale;93
13/01/2023;S. Fermo;PS Ostetrico-Ginecologico;21
13/01/2023;S. Fermo;PS Pediatrico;36
14/01/2023;Cantù;PS Generale;41
14/01/2023;Cantù;PS Pediatrico;7
14/01/2023;Menaggio;PS Generale;25
14/01/2023;S. Fermo;PS Generale;100
14/01/2023;S. Fermo;PS Ostetrico-Ginecologico;16
14/01/2023;S. Fermo;PS Pediatrico;50
15/01/2023;Cantù;PS Generale;43
15/01/2023;Cantù;PS Pediatrico;15
15/01/2023;Menaggio;PS Generale;10
15/01/2023;S. Fermo;PS Generale;74
15/01/2023;S. Fermo;PS Ostetrico-Ginecologico;16
15/01/2023;S. Fermo;PS Pediatrico;70
16/01/2023;Cantù;PS Generale;59
16/01/2023;Cantù;PS Pediatrico;12
16/01/2023;Menaggio;PS Generale;21
16/01/2023;S. Fermo;PS Generale;112
16/01/2023;S. Fermo;PS Ostetrico-Ginecologico;20
16/01/2023;S. Fermo;PS Pediatrico;42
17/01/2023;Cantù;PS Generale;47
17/01/2023;Cantù;PS Pediatrico;9
17/01/2023;Menaggio;PS Generale;18
17/01/2023;S. Fermo;PS Generale;109
17/01/2023;S. Fermo;PS Ostetrico-Ginecologico;21
17/01/2023;S. Fermo;PS Pediatrico;28
18/01/2023;Cantù;PS Generale;43
18/01/2023;Cantù;PS Pediatrico;9
18/01/2023;Menaggio;PS Generale;18
18/01/2023;S. Fermo;PS Generale;110
18/01/2023;S. Fermo;PS Ostetrico-Ginecologico;22
18/01/2023;S. Fermo;PS Pediatrico;27
19/01/2023;Cantù;PS Generale;51
19/01/2023;Cantù;PS Pediatrico;10
19/01/2023;Menaggio;PS Generale;18
19/01/2023;S. Fermo;PS Generale;77
19/01/2023;S. Fermo;PS Ostetrico-Ginecologico;31
19/01/2023;S. Fermo;PS Pediatrico;30
20/01/2023;Cantù;PS Generale;50
20/01/2023;Cantù;PS Pediatrico;14
20/01/2023;Menaggio;PS Generale;19
20/01/2023;S. Fermo;PS Generale;101
20/01/2023;S. Fermo;PS Ostetrico-Ginecologico;19
20/01/2023;S. Fermo;PS Pediatrico;49
21/01/2023;Cantù;PS Generale;58
21/01/2023;Cantù;PS Pediatrico;21
21/01/2023;Menaggio;PS Generale;21
21/01/2023;S. Fermo;PS Generale;88
21/01/2023;S. Fermo;PS Ostetrico-Ginecologico;22
21/01/2023;S. Fermo;PS Pediatrico;48
22/01/2023;Cantù;PS Generale;48
22/01/2023;Cantù;PS Pediatrico;23
22/01/2023;Menaggio;PS Generale;19
22/01/2023;S. Fermo;PS Generale;91
22/01/2023;S. Fermo;PS Ostetrico-Ginecologico;17
22/01/2023;S. Fermo;PS Pediatrico;51
23/01/2023;Cantù;PS Generale;59
23/01/2023;Cantù;PS Pediatrico;10
23/01/2023;Menaggio;PS Generale;23
23/01/2023;S. Fermo;PS Generale;111
23/01/2023;S. Fermo;PS Ostetrico-Ginecologico;25
23/01/2023;S. Fermo;PS Pediatrico;54
24/01/2023;Cantù;PS Generale;57
24/01/2023;Cantù;PS Pediatrico;16
24/01/2023;Menaggio;PS Generale;23
24/01/2023;S. Fermo;PS Generale;113
24/01/2023;S. Fermo;PS Ostetrico-Ginecologico;20
24/01/2023;S. Fermo;PS Pediatrico;42
25/01/2023;Cantù;PS Generale;57
25/01/2023;Cantù;PS Pediatrico;14
25/01/2023;Menaggio;PS Generale;16
25/01/2023;S. Fermo;PS Generale;104
25/01/2023;S. Fermo;PS Ostetrico-Ginecologico;20
25/01/2023;S. Fermo;PS Pediatrico;45
